primary	synonyms	description
HMGB1P1	HMG1L1|HMG1L7|HMGB1L1|dJ579F20.1|HMG1L1|HMGB1L1	high mobility group box 1 pseudogene 1
HMGB1P10	HMG1L10|HMGB1L10|bK445C9.3	high mobility group box 1 pseudogene 10
HMGB1P11	HMGB1L11	high mobility group box 1 pseudogene 11
HMGB1P12	HMGB1L12	high mobility group box 1 pseudogene 12
HMGB1P13	HMGB1L13	high mobility group box 1 pseudogene 13
HMGB1P14	HMGB1L14|HMGB1P	high mobility group box 1 pseudogene 14
HMGB1P15		
HMGB1P16		
HMGB1P17		
HMGB1P18		
HMGB1P19		
HMGB1P20		
HMGB1P21		
HMGB1P22		
HMGB1P23		
HMGB1P24		
HMGB1P25		
HMGB1P26		
HMGB1P27		
HMGB1P28		
HMGB1P29		
HMGB1P3	HMG1L3|HMGB1L3	high mobility group box 1 pseudogene 3
HMGB1P30		
HMGB1P31		
HMGB1P32		
HMGB1P33		
HMGB1P34		
HMGB1P35		
HMGB1P36		
HMGB1P37		
HMGB1P38		
HMGB1P39		
HMGB1P4	HMG1L4|HMG1L4P|HMGB1L4	high mobility group box 1 pseudogene 4
HMGB1P40		
HMGB1P41		
HMGB1P42		
HMGB1P43		
HMGB1P44		
HMGB1P45		
HMGB1P46		
HMGB1P47		
HMGB1P48		
HMGB1P49		
HMGB1P5	HMG-1|HMG1L5|HMGB1L15|HMGB1L5|HMGB1P2	high mobility group box 1 pseudogene 5
HMGB1P50		
HMGB1P51		
HMGB1P6	HMG1L6|HMGB1L6	high mobility group box 1 pseudogene 6
HMGB1P7		
HMGB1P8	HMG1L8|HMGB1L8	high mobility group box 1 pseudogene 8
HMGB1P9	HMG1L9|HMGB1L9	high mobility group box 1 pseudogene 9
HMGB2	HMG2|HMG2|HMG2	high mobility group box 2
HMGB2P1		
HMGB3	HMG-2a|HMG-4|HMG2A|HMG4|HMG2A|MGC90319|HMG4|HMG2A|HMG4	high mobility group box 3
HMGB3P1	HMG4L|HMGB3L1|dJ18C9.3	high mobility group box 3 pseudogene 1
HMGB3P10		
HMGB3P11		
HMGB3P12		
HMGB3P13		
HMGB3P14		
HMGB3P15		
HMGB3P16		
HMGB3P17		
HMGB3P18		
HMGB3P19		
HMGB3P2	HMG4L2|HMGB3L2|dJ550H1.1	high mobility group box 3 pseudogene 2
HMGB3P20		
HMGB3P21		
HMGB3P22		
HMGB3P23		
HMGB3P24		
HMGB3P25		
HMGB3P26		
HMGB3P27		
HMGB3P28		
HMGB3P29		
HMGB3P3		
HMGB3P30		
HMGB3P31		
HMGB3P32		
HMGB3P4		
HMGB3P5		
HMGB3P6		
HMGB3P7		
HMGB3P8		
HMGB3P9		
HMGB4	dJ1007G16.5|FLJ40388	high mobility group box 4
HMGCL	HL|HL	3-hydroxy-3-methylglutaryl-CoA lyase
HMGCLL1	bA418P12.1|er-cHL|DKFZP434G1411|bA418P12.1	3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1
HMGCR	LDLCQ3	3-hydroxy-3-methylglutaryl-CoA reductase
HMGCS1	HMGCS|HMGCS|HMGCS	3-hydroxy-3-methylglutaryl-CoA synthase 1
HMGCS2		
HMGI-C-ALDH 2		
HMGIC		
HMGN1	HMG14|FLJ27265|FLJ31471|MGC104230|MGC117425|HMG14|HMG14	high mobility group nucleosome binding domain 1
HMGN1P1	HMGN1L1	high mobility group nucleosome binding domain 1 pseudogene 1
HMGN1P10		
HMGN1P11		
HMGN1P12		
HMGN1P13		
HMGN1P14		
HMGN1P15		
HMGN1P16		
HMGN1P17		
HMGN1P18		
HMGN1P19		
HMGN1P2	HMG14P|HMGN1L2	high mobility group nucleosome binding domain 1 pseudogene 2
HMGN1P20		
HMGN1P21		
HMGN1P22		
HMGN1P23		
HMGN1P24		
HMGN1P25		
HMGN1P26		
HMGN1P27		
HMGN1P28		
HMGN1P29		
HMGN1P3		
HMGN1P30		
HMGN1P31		
HMGN1P32		
HMGN1P33		
HMGN1P34		
HMGN1P35		
HMGN1P36		
HMGN1P37		
HMGN1P38		
HMGN1P4		
HMGN1P5		
HMGN1P6		
HMGN1P7		
HMGN1P8		
HMGN1P9		
HMGN2	HMG17|HMG17|HMG17	high mobility group nucleosomal binding domain 2
HMGN2P1	HMGN2L1|HMGN2P	high mobility group nucleosomal binding domain 2 pseudogene 1
HMGN2P10	HMG17L2|HMGN2L10|bK216E10	high mobility group nucleosomal binding domain 2 pseudogene10
HMGN2P11	28H|HMG17P1|HMGN2L11	high mobility group nucleosomal binding domain 2 pseudogene 11
HMGN2P12	60H|HMG17P2|HMGN2L12	high mobility group nucleosomal binding domain 2 pseudogene 12
HMGN2P13		
HMGN2P14		
HMGN2P15		
HMGN2P16	HMGN2L	high mobility group nucleosomal binding domain 2 pseudogene 16
HMGN2P17		
HMGN2P18		
HMGN2P19		
HMGN2P2	HMGN2L2	high mobility group nucleosomal binding domain 2 pseudogene 2
HMGN2P20		
HMGN2P21		
HMGN2P22		
HMGN2P23		
HMGN2P24		
HMGN2P25		
HMGN2P26		
HMGN2P27		
HMGN2P28		
HMGN2P29		
HMGN2P3	HMGN2L3	high mobility group nucleosomal binding domain 2 pseudogene 3
HMGN2P30		
HMGN2P31		
HMGN2P32		
HMGN2P33		
HMGN2P34		
HMGN2P35		
HMGN2P36		
HMGN2P37		
HMGN2P38		
HMGN2P39		
HMGN2P4	HMGN2L4	high mobility group nucleosomal binding domain 2 pseudogene 4
HMGN2P40		
HMGN2P41		
HMGN2P42		
HMGN2P43		
HMGN2P44		
HMGN2P45		
HMGN2P46	C15orf21|D-PCa-2|C15orf21	high mobility group nucleosomal binding domain 2 pseudogene 46
HMGN2P47		
HMGN2P5	HMGN2L5	high mobility group nucleosomal binding domain 2 pseudogene 5
HMGN2P6	HMGN2L6	high mobility group nucleosomal binding domain 2 pseudogene 6
HMGN2P7	HMGN2L7	high mobility group nucleosomal binding domain 2 pseudogene 7
HMGN2P8	HMGN2L8	high mobility group nucleosomal binding domain 2 pseudogene 8
HMGN2P9	HMG17L1|HMGN2L9|dJ388M5|dJ388M5.2	high mobility group nucleosomal binding domain 2 pseudogene 9
HMGN3	PNAS-24|PNAS-25|TRIP7|TRIP7|TRIP7	high mobility group nucleosomal binding domain 3
HMGN3-AS1		
HMGN3P1		
HMGN4	HMG17L3|NHC|NHC|HMG17L3|HMG17L3|NHC	high mobility group nucleosomal binding domain 4
HMGN5	NBP-45|NSBP1|NSBP1|NSBP1	high mobility group nucleosome binding domain 5
HMGXB3	HMGX3|SMF|SMF|KIAA0194|HMGX3|KIAA0194|SMF	HMG-box containing 3
HMGXB4	HMG2L1|HMGBCG|THC211630|THC211630|HMG2L1|HMG2L1|HMGBCG	HMG-box containing 4
HMHA1		
HMHB1	HB-1|HB-1Y|HLA-HB1|HB-1|HB-1Y	histocompatibility minor HB-1
HMMR	CD168|IHABP|RHAMM|RHAMM|CD168|IHABP|RHAMM	hyaluronan mediated motility receptor
HMMR-AS1		
HMN7A	DHMNVP	Motor neuronopathy| distal hereditary| type VIIA
HMNJ	MNDJ	Distal hereditary motor neuropathy| Jerash type
HMOX1	HMOX1D|HO-1|HSP32|bK286B10|bK286B10|HO-1|HO|HO1	heme oxygenase 1
HMOX2	HO-2|HO-2|HO2	heme oxygenase 2
HMP19		
HMSD	ACC-6|ACC6|C18orf53|HSMD-v|ACC-6|ACC6|C18orf53	histocompatibility minor serpin domain containing
HMSN5		
HMSNO	HMSNP	Neuropathy| hereditary motor and sensory| Okinawa type
HMU	MUHH	Hypotrichosis| Marie Unna type
HMX1	H6|NKX5-3|H6|NKX5-3|H6	H6 family homeobox 1
HMX2	H6L|Nkx5-2|NKX5-2	H6 family homeobox 2
HMX3	NKX-5.1|NKX5.1|Nkx5-1|NKX5-1|NKX-5.1|NKX5-1	H6 family homeobox 3
HNB1		
HNF1A	HNF-1A|HNF1|HNF4A|IDDM20|LFB1|MODY3|TCF-1|TCF1|HNF1|LFB1|MODY3|TCF1|TCF1	HNF1 homeobox A
HNF1A-AS1	C12orf27|HAS1|NCRNA00262	HNF1A antisense RNA 1
HNF1B	FJHN|HNF-1-beta|HNF-1B|HNF1beta|HNF2|HPC11|LF-B3|LFB3|MODY5|TCF-2|TCF2|VHNF1|LFB3|VHNF1|HNF1beta|MODY5|TCF2|TCF2	HNF1 homeobox B
HNF1alpha		
HNF4A	FRTS4|HNF4|HNF4a7|HNF4a8|HNF4a9|HNF4alpha|MODY|MODY1|NR2A1|NR2A21|TCF|TCF14|NR2A1|HNF4|TCF14|MODY|MODY1|HNF4|NR2A1|TCF14	hepatocyte nuclear factor 4 alpha
HNF4A-AS1	uc002xlx	HNF4A antisense RNA 1
HNF4G	NR2A2|NR2A3|NR2A2|NR2A2	hepatocyte nuclear factor 4 gamma
HNF4GP1		
HNFJ3		
HNMT	HMT|HNMT-S1|HNMT-S2|MRT51	histamine N-methyltransferase
HNP1		
HNRNPA0	HNRPA0|hnRNPA0|HNRPA0|HNRPA0	heterogeneous nuclear ribonucleoprotein A0
HNRNPA1	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|UP 1|hnRNP A1|hnRNP-A1|hnRNPA1|hnRNP-A1|ALS20|HNRPA1|HNRPA1	heterogeneous nuclear ribonucleoprotein A1
HNRNPA1L2	LOC144983|HNRNPA1L	
HNRNPA1P1	HNRPA1P1|b34I8.2|hnRNPA1-Lp	heterogeneous nuclear ribonucleoprotein A1 pseudogene 1
HNRNPA1P10	HNRPA1L-2	heterogeneous nuclear ribonucleoprotein A1 pseudogene 10
HNRNPA1P11		
HNRNPA1P12		
HNRNPA1P13		
HNRNPA1P14		
HNRNPA1P15		
HNRNPA1P16		
HNRNPA1P17		
HNRNPA1P18		
HNRNPA1P19		
HNRNPA1P2	HNRPA1P2|dJ372B18.1	heterogeneous nuclear ribonucleoprotein A1 pseudogene 2
HNRNPA1P20		
HNRNPA1P21	HNRNPA1P	heterogeneous nuclear ribonucleoprotein A1 pseudogene 21
HNRNPA1P22		
HNRNPA1P23		
HNRNPA1P24		
HNRNPA1P25		
HNRNPA1P26	HNRPA1P6	heterogeneous nuclear ribonucleoprotein A1 pseudogene 26
HNRNPA1P27	HNRPA1P5	heterogeneous nuclear ribonucleoprotein A1 pseudogene 27
HNRNPA1P28		
HNRNPA1P29		
HNRNPA1P3	HNRPA1P3|dJ447F3.1	heterogeneous nuclear ribonucleoprotein A1 pseudogene 3
HNRNPA1P30		
HNRNPA1P31		
HNRNPA1P32		
HNRNPA1P33		
HNRNPA1P34		
HNRNPA1P35		
HNRNPA1P36		
HNRNPA1P37		
HNRNPA1P38		
HNRNPA1P39		
HNRNPA1P4	HNRPA1P4	heterogeneous nuclear ribonucleoprotein A1 pseudogene 4
HNRNPA1P40		
HNRNPA1P41		
HNRNPA1P42		
HNRNPA1P43		
HNRNPA1P44		
HNRNPA1P45		
HNRNPA1P46		
HNRNPA1P47		
HNRNPA1P48		
HNRNPA1P49		
HNRNPA1P5		
HNRNPA1P50		
HNRNPA1P51		
HNRNPA1P52		
HNRNPA1P53		
HNRNPA1P54		
HNRNPA1P55		
HNRNPA1P56		
HNRNPA1P57		
HNRNPA1P58		
HNRNPA1P59		
HNRNPA1P6	HNRNPA1L|HNRNPA1L1|HNRPA1L	heterogeneous nuclear ribonucleoprotein A1 pseudogene 6
HNRNPA1P60		
HNRNPA1P61		
HNRNPA1P62		
HNRNPA1P63		
HNRNPA1P64		
HNRNPA1P65		
HNRNPA1P66		
HNRNPA1P67		
HNRNPA1P68		
HNRNPA1P69		
HNRNPA1P7	HNRPA1L3	heterogeneous nuclear ribonucleoprotein A1 pseudogene 7
HNRNPA1P70		
HNRNPA1P71		
HNRNPA1P72		
HNRNPA1P73		
HNRNPA1P74		
HNRNPA1P75		
HNRNPA1P76		
HNRNPA1P77		
HNRNPA1P8		
HNRNPA1P9		
HNRNPA2B1	HNRNPA2|HNRNPB1|HNRPA2|HNRPA2B1|HNRPB1|IBMPFD2|RNPA2|SNRPB1|HNRPA2B1|HNRPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1
HNRNPA3	2610510D13Rik|D10S102|FBRNP|HNRPA3|HNRPA3|HNRPA3	heterogeneous nuclear ribonucleoprotein A3
HNRNPA3P1	D10S102|FBRNP|HNRPA3|HNRPA3P1	heterogeneous nuclear ribonucleoprotein A3 pseudogene 1
HNRNPA3P10		
HNRNPA3P11		
HNRNPA3P12		
HNRNPA3P13		
HNRNPA3P14		
HNRNPA3P15		
HNRNPA3P16		
HNRNPA3P2	HNRPA3P|HNRPA3P2|dJ977B1.2	heterogeneous nuclear ribonucleoprotein A3 pseudogene 2
HNRNPA3P3		
HNRNPA3P4		
HNRNPA3P5		
HNRNPA3P6		
HNRNPA3P7		
HNRNPA3P8		
HNRNPA3P9		
HNRNPAB	ABBP1|HNRPAB|ABBP1|FLJ40338|HNRPAB|ABBP1|HNRPAB	heterogeneous nuclear ribonucleoprotein A/B
HNRNPABP1		
HNRNPC	C1|C2|HNRNP|HNRPC|SNRPC|hnRNPC|HNRPC|HNRPC	heterogeneous nuclear ribonucleoprotein C (C1/C2)
HNRNPCL1	HNRPCL1|HNRPCL1|HNRPCL1	heterogeneous nuclear ribonucleoprotein C-like 1
HNRNPCL2	HNRNPCP5|HNRNPCP5|HNRNPCP5	heterogeneous nuclear ribonucleoprotein C-like 2
HNRNPCL3	HNRNPCL2	heterogeneous nuclear ribonucleoprotein C-like 3
HNRNPCL4		
HNRNPCP1	HNRPCP	heterogeneous nuclear ribonucleoprotein C pseudogene 1
HNRNPCP10		
HNRNPCP2		
HNRNPCP3		
HNRNPCP4		
HNRNPCP6		
HNRNPCP7		
HNRNPCP8		
HNRNPCP9		
HNRNPD	AUF1|AUF1A|HNRPD|P37|hnRNPD0|AUF1|HNRPD|AUF1|HNRPD	heterogeneous nuclear ribonucleoprotein D
HNRNPDL	HNRNP|HNRPDL|JKTBP|JKTBP2|LGMD1G|laAUF1|JKTBP|laAUF1|HNRPDL|HNRPDL|JKTBP	heterogeneous nuclear ribonucleoprotein D like
HNRNPDLP1		
HNRNPDLP2		
HNRNPDLP3		
HNRNPDLP4		
HNRNPDLP5		
HNRNPDP1	AUF1B|AUF1P|HNRNPDP|HNRPDP	heterogeneous nuclear ribonucleoprotein D pseudogene 1
HNRNPDP2		
HNRNPF	HNRPF|OK/SW-cl.23|mcs94-1|HNRPF|HNRPF	heterogeneous nuclear ribonucleoprotein F
HNRNPFP1		
HNRNPH1	HNRPH|HNRPH1|hnRNPH|hnRNPH|HNRPH1|HNRPH|HNRPH1	heterogeneous nuclear ribonucleoprotein H1
HNRNPH1P1		
HNRNPH1P2		
HNRNPH1P3		
HNRNPH2	FTP3|HNRPH'|HNRPH2|MRXSB|NRPH2|hnRNPH'|hnRNPH'|FTP3|HNRPH'|HNRPH2|FTP3|HNRPH2	heterogeneous nuclear ribonucleoprotein H2
HNRNPH3	2H9|HNRPH3|2H9|HNRPH3|HNRPH3	heterogeneous nuclear ribonucleoprotein H3
HNRNPH3P1		
HNRNPK	AUKS|CSBP|HNRPK|TUNP|CSBP|TUNP|HNRPK|HNRPK	heterogeneous nuclear ribonucleoprotein K
HNRNPKP1		
HNRNPKP2		
HNRNPKP3		
HNRNPKP4		
HNRNPKP5		
HNRNPL	HNRPL|P/OKcl.14|hnRNP-L|HNRPL|HNRPL	heterogeneous nuclear ribonucleoprotein L
HNRNPLL	HNRPLL|SRRF|HNRPLL|HNRPLL|SRRF	heterogeneous nuclear ribonucleoprotein L like
HNRNPLP1		
HNRNPLP2		
HNRNPM	CEAR|HNRNPM4|HNRPM|HNRPM4|HTGR1|NAGR1|hnRNP M|HTGR1|HNRNPM4|HNRPM4|CEAR|NAGR1|HNRPM|HNRPM|NAGR1	heterogeneous nuclear ribonucleoprotein M
HNRNPMP1		
HNRNPMP2		
HNRNPR	HNRPR|hnRNP-R|hnRNP-R|HNRPR|HNRPR	heterogeneous nuclear ribonucleoprotein R
HNRNPRP1		
HNRNPRP2		
HNRNPRP3		
HNRNPU	EIEE54|GRIP120|HNRNPU-AS1|HNRPU|SAF-A|SAFA|U21.1|hnRNP U|pp120|SAF-A|hnRNPU|FLJ37978|FLJ30202|HNRPU|HNRNPU-AS1|C1orf199|NCRNA00201|C1orf199|HNRPU|SAFA|U21.1	heterogeneous nuclear ribonucleoprotein U
HNRNPUL1	E1B-AP5|E1BAP5|HNRPUL1|E1B-AP5|E1BAP5|FLJ12944|HNRPUL1|E1BAP5|HNRPUL1	heterogeneous nuclear ribonucleoprotein U like 1
HNRNPUL2	HNRPUL2|SAF-A2|DKFZp762N1910|HNRPUL2|HNRPUL2	heterogeneous nuclear ribonucleoprotein U like 2
HNRNPUL2-BSCL2		
HNRNPUP1	HNRPUP	heterogeneous nuclear ribonucleoprotein U pseudogene 1
HNRPA1		
HNRPA2B1		
HNRPA3		
HNRPC		
HNRPCL1		
HNRPD		
HNRPDL		
HNRPF		
HNRPH3		
HNRPK		
HNRPLL		
HNRPM		
HNRPR		
HNRPU		
HNRPUL1		
HO1		
HOAC	ULG4	hypoacusis 2 (autosomal recessive)
HOGA1	C10orf65|DHDPS2|DHDPSL|HP3|NPL2|FLJ37472|DHDPS2|NPL2|C10orf65|DHDPSL|C10orf65|DHDPSL	4-hydroxy-2-oxoglutarate aldolase 1
HOM-TES-103		
HOMER1	HOMER|HOMER1A|HOMER1B|HOMER1C|SYN47|Ves-1|Ves-1|SYN47|HOMER-1B|SYN47	homer scaffold protein 1
HOMER2	ACPD|CPD|DFNA68|HOMER-2|VESL-2|CPD|Cupidin|Vesl-2|HOMER-2B|HOMER-2|HOMER-2A|DFNA68	homer scaffold protein 2
HOMER2P1		
HOMER2P2		
HOMER3	HOMER-3|VESL3|HOMER-3	homer scaffold protein 3
HOMER3-AS1		
HOMEZ	KIAA1443|KIAA1443|KIAA1443	homeobox and leucine zipper encoding
HOOK1	HK1|HK1	hook microtubule tethering protein 1
HOOK2	HK2|HK2	hook microtubule tethering protein 2
HOOK3	HK3|HK3	hook microtubule tethering protein 3
HOPA		
HOPX	CAMEO|HOD|HOP|LAGY|NECC1|OB1|SMAP31|TOTO|LAGY|HOP|OB1|NECC1|SMAP31|HOD|HOP|LAGY|NECC1|OB1	HOP homeobox
HORMAD1	CT46|NOHMA|DKFZP434A1315|CT46|NOHMA	HORMA domain containing 1
HORMAD2	CT46.2|MGC26710|CT46.2	HORMA domain containing 2
HORMAD2-AS1	MTMR3-AS1	HORMAD2 and MTMR3 antisense RNA 1
HOTAIR	HOXAS|HOXC-AS4|HOXC11-AS1|NCRNA00072	HOX transcript antisense RNA
HOTAIRM1	HOXA-AS1|HOXA1-AS1|NCRNA00179	HOXA transcript antisense RNA| myeloid-specific 1
HOTS		
HOTTIP	HOXA-AS6|HOXA13-AS1|NCRNA00213	HOXA distal transcript antisense RNA
HOX A1		
HOX B6		
HOX2.8		
HOXA-9		
HOXA-AS2	HOXA3as	HOXA cluster antisense RNA 2
HOXA-AS3	HOXA6as	HOXA cluster antisense RNA 3
HOXA1	BSAS|HOX1|HOX1F|HOX1F|HOX1|HOX1F	homeobox A1
HOXA10	HOX1|HOX1.8|HOX1H|PL|HOX1H|HOX1|HOX1H	homeobox A10
HOXA10-AS	HOXA-AS4	HOXA10 antisense RNA
HOXA10-HOXA9		
HOXA11	HOX1|HOX1I|RUSAT1|HOX1I|HOX1|HOX1I	homeobox A11
HOXA11-AS	HOXA-AS5|HOXA11-AS1|HOXA11AS|HOXA11S|NCRNA00076	HOXA11 antisense RNA
HOXA13	HOX1|HOX1J|HOX1J|HOX1|HOX1J	homeobox A13
HOXA2	HOX1K|MCOHI|HOX1K|HOX1K	homeobox A2
HOXA3	HOX1|HOX1E|HOX1E|HOX1|HOX1E	homeobox A3
HOXA4	HOX1|HOX1D|HOX1D|HOX1|HOX1D	homeobox A4
HOXA5	HOX1|HOX1.3|HOX1C|HOX1C|HOX1|HOX1C	homeobox A5
HOXA6	HOX1|HOX1.2|HOX1B|HOX1B|HOX1|HOX1B	homeobox A6
HOXA7	ANTP|HOX1|HOX1.1|HOX1A|HOX1A|HOX1|HOX1A	homeobox A7
HOXA9	ABD-B|HOX1|HOX1.7|HOX1G|HOX1G|HOX1|HOX1G	homeobox A9
HOXA@	HOX1@	homeobox A cluster
HOXB-AS1		
HOXB-AS2		
HOXB-AS3		
HOXB-AS4		
HOXB1	HCFP3|HOX2|HOX2I|Hox-2.9|HOX2|HOX2I|HOX2I	homeobox B1
HOXB13	PSGD	homeobox B13
HOXB2	HOX2|HOX2H|Hox-2.8|K8|HOX2|HOX2H|HOX2H	homeobox B2
HOXB3	HOX2|HOX2G|Hox-2.7|HOX2|HOX2G|HOX2G	homeobox B3
HOXB4	HOX-2.6|HOX2|HOX2F|HOX2|HOX2F|HOX2F	homeobox B4
HOXB5	HHO.C10|HOX2|HOX2A|HU-1|Hox2.1|HOX2|HOX2A|HOX2A	homeobox B5
HOXB6	HOX2|HOX2B|HU-2|Hox-2.2|HOX2|HOX2B|HOX2B	homeobox B6
HOXB7	HHO.C1|HOX2|HOX2C|Hox-2.3|HOX2|HOX2C|HOX2C	homeobox B7
HOXB8	HOX2|HOX2D|Hox-2.4|HOX2|HOX2D|HOX2D	homeobox B8
HOXB9	HOX-2.5|HOX2|HOX2E|HOX2E|HOX2|HOX2E	homeobox B9
HOXB@	HOX2@	homeobox B cluster
HOXC-AS1		
HOXC-AS2		
HOXC-AS3		
HOXC10	HOX3I|HOX3I|HOX3I	homeobox C10
HOXC11	HOX3H|HOX3H|HOX3H	homeobox C11
HOXC12	HOC3F|HOX3|HOX3F|HOX3|HOX3F|HOC3F|HOC3F|HOX3F	homeobox C12
HOXC13	ECTD9|HOX3|HOX3G|HOX3|HOX3G|HOX3G	homeobox C13
HOXC13-AS	HOXC-AS5	HOXC13 antisense RNA
HOXC4	HOX3|HOX3E|cp19|HOX3|HOX3E|HOX3E	homeobox C4
HOXC5	CP11|HOX3|HOX3D|HOX3D|HOX3|HOX3D	homeobox C5
HOXC6	CP25|HHO.C8|HOX3|HOX3C|HOX3C|HOX3|HOX3C	homeobox C6
HOXC8	HOX3|HOX3A|HOX3|HOX3A|HOX3A	homeobox C8
HOXC9	HOX3|HOX3B|HOX3|HOX3B|HOX3B	homeobox C9
HOXC@	HOX3@	homeobox C cluster
HOXD-AS2		
HOXD1	HOX4|HOX4G|Hox-4.7|HOX4|HOX4G|HOX4|HOX4G	homeobox D1
HOXD10	HOX4|HOX4D|HOX4E|Hox-4.4|HOX4|HOX4D|HOX4D|HOX4E	homeobox D10
HOXD11	HOX4|HOX4F|HOX4|HOX4F|HOX4F	homeobox D11
HOXD12	HOX4H|HOX4H|HOX4H	homeobox D12
HOXD13	BDE|BDSD|HOX4I|SPD|SPD1|HOX4I|SPD|HOX4I	homeobox D13
HOXD3	HOX1D|HOX4|HOX4A|Hox-4.1|HOX4A|HOX4|HOX1D|HOX1D|HOX4A	homeobox D3
HOXD4	HHO.C13|HOX-5.1|HOX4|HOX4B|Hox-4.2|HOX4B|HOX4|HOX4B	homeobox D4
HOXD8	HOX4|HOX4E|HOX5.4|HOX4|HOX4E|HOX4E	homeobox D8
HOXD9	HOX4|HOX4C|Hox-4.3|Hox-5.2|HOX4C|HOX4|HOX4C	homeobox D9
HOXD@	HOX4@	homeobox D cluster
HOZFP		
HP	BP|HP2ALPHA2|HPA1S	haptoglobin
HP07349		
HP08474		
HP08777		
HP09025		
HP09026		
HP09053		
HP10985		
HP11012		
HP11014		
HP11026		
HP11097		
HP1BP3	HP1-BP74|HP1BP74|HP1-BP74	heterochromatin protein 1 binding protein 3
HPBP		
HPC10		
HPC14		
HPC15		
HPC3	HPC20	Prostate cancer| hereditary| 3
HPC4	HPC7	Prostate cancer| hereditary| 4
HPC5		
HPC6		
HPC7		
HPC9		
HPCA	BDR2|DYT2|BDR2	hippocalcin
HPCAL1	BDR1|HLP2|VILIP-3|BDR1|HLP2|VILIP-3|BDR1	hippocalcin like 1
HPCAL4	HLP4|HLP4|DKFZp761G122	hippocalcin like 4
HPCQTL19		
HPCX		
HPCX2		
HPD	4-HPPD|4HPPD|GLOD3|HPPDASE|PPD|4-HPPD|4HPPD|GLOD3|PPD|PPD	4-hydroxyphenylpyruvate dioxygenase
HPDL	4-HPPD-L|GLOXD1|MGC15668|4-HPPD-L|GLOXD1|GLOXD1	4-hydroxyphenylpyruvate dioxygenase like
HPE1	HPEC	holoprosencephaly 1| alobar
HPE6		
HPE8		
HPF1	C4orf27|FLJ20534|C4orf27|C4orf27	histone PARylation factor 1
HPFH2		
HPFH6OR		
HPGD	15-PGDH|PGDH|PGDH1|PHOAR1|SDR36C1|SDR36C1|PGDH1|SDR36C1	15-hydroxyprostaglandin dehydrogenase
HPGDS	GSTS|GSTS1|GSTS1-1|PGD2|PGDS|GSTS|PGDS|H-PGDS|PGD2|GSTS1-1|GSTS1|GSTS|PGDS|PTGDS2	hematopoietic prostaglandin D synthase
HPH1		
HPH2		
HPLH1	FHL1|HLH1	hemophagocytic lymphohistiocytosis 1
HPN	TMPRSS1|TMPRSS1|TMPRSS1	hepsin
HPN-AS1		
HPP1	FPH1|HPP|MUH	hyperpigmentation| progressive| 1
HPPD		
HPR	A-259H10.2|HP	haptoglobin-related protein
HPRHP		
HPRT1	HGPRT|HPRT|HGPRT|HPRT|HPRT	hypoxanthine phosphoribosyltransferase 1
HPRT1P1		
HPRT1P2	HPRTP2	hypoxanthine phosphoribosyltransferase 1 pseudogene 2
HPRT1P3	HPRTP3|HPRTP4	hypoxanthine phosphoribosyltransferase 1 pseudogene 3
HPS1	BLOC3S1|HPS|BLOC3S1|HPS|HPS	HPS1| biogenesis of lysosomal organelles complex 3 subunit 1
HPS3	BLOC2S1|SUTAL|SUTAL|BLOC2S1	HPS3| biogenesis of lysosomal organelles complex 2 subunit 1
HPS4	BLOC3S2|LE|KIAA1667|LE|BLOC3S2|KIAA1667	HPS4| biogenesis of lysosomal organelles complex 3 subunit 2
HPS5	AIBP63|BLOC2S2|BLOC2S2|AIBP63|RU2|AIBP63|KIAA1017	HPS5| biogenesis of lysosomal organelles complex 2 subunit 2
HPS6	BLOC2S3|FLJ22501|BLOC2S3	HPS6| biogenesis of lysosomal organelles complex 2 subunit 3
HPSE	HPA|HPA1|HPR1|HPSE1|HSE1|HPA|HSE1|HPSE1|HEP|HPA|HPA1|HPR1|HPSE1|HSE1	heparanase
HPSE2	HPA2|HPR2|UFS|UFS1|HPA2|HPR2|UFS|HPA2	heparanase 2 (inactive)
HPT	HPTX|HYPX	hypoparathyroidism
HPV18I1	D8S37|HPV18I	human papillomavirus (type 18) integration site 1
HPV18I2	PAL2|pal2A|pal2B	human papillomavirus (type 18) integration site 2
HPV45 E6		
HPV45 E7		
HPV45 L1		
HPV45 L2		
HPV6AI1		
HPVC1	HPV18E5L|PE5L	human papillomavirus (type 18) E5 central sequence-like 1
HPX	HX	hemopexin
HPX-2		
HPX-42		
HPX-5		
HPX-6		
HPYR1	HPRG1|LINC00027|NCRNA00027	Helicobacter pylori responsive 1
HR	ALUNC|AU|HSA277165|HYPT4|MUHH|MUHH1|AU|ALUNC	HR| lysine demethylase and nuclear receptor corepressor
HR6A		
HRAS	C-BAS/HAS|C-H-RAS|C-HA-RAS1|CTLO|H-RASIDX|HAMSV|HRAS1|RASH1|p21ras|HRAS1|HRAS1	HRas proto-oncogene| GTPase
HRASLS	A-C1|H-REV107|HRASLS1|HRSL1|HSD28|H-REV107|HRASLS1	HRAS like suppressor
HRASLS2	PLA1/2-2|FLJ20556	HRAS like suppressor 2
HRASLS3		
HRASLS5	HRLP5|HRSL5|RLP1|iNAT|HRLP5|HRLP5	HRAS like suppressor family member 5
HRAT17		
HRAT5		
HRAT92		
